2012-07-07 07:41:35 status installed gcc-4.3-base:powerpc 4.3.5-4
2012-07-07 07:41:36 remove gcc-4.3-base:powerpc 4.3.5-4 <none>
2012-07-07 07:41:36 status half-configured gcc-4.3-base:powerpc 4.3.5-4
2012-07-07 07:41:36 status half-installed gcc-4.3-base:powerpc 4.3.5-4
2012-07-07 07:41:36 status config-files gcc-4.3-base:powerpc 4.3.5-4
2012-07-07 07:41:36 status config-files gcc-4.3-base:powerpc 4.3.5-4
2012-07-07 07:41:36 status config-files gcc-4.3-base:powerpc 4.3.5-4
2012-07-07 07:41:36 status not-installed gcc-4.3-base:powerpc <none>
2012-07-07 07:41:36 status installed libcap1:powerpc 1:1.10-14
2012-07-07 07:41:36 remove libcap1:powerpc 1:1.10-14 <none>
2012-07-07 07:41:36 status half-configured libcap1:powerpc 1:1.10-14
2012-07-07 07:41:37 status half-installed libcap1:powerpc 1:1.10-14
2012-07-07 07:41:37 status config-files libcap1:powerpc 1:1.10-14
